ENO Scheme(FVM):
alpha = dt/dx = 0.5
Number of points		L1 Normal			Order
40				4.50672568110942889E-005	2.66841488974372634
80				7.08905263965586043E-006	2.2604047593582114
160				1.47958038882520914E-006	1.3978165296397097
320				5.61505303311726453E-007	1.51294327494013891
640				1.96749009634838876E-007	--------------------


alpha = dt/dx = 0.1
Number of points		L1 Normal			Order
40				4.75290119692824836E-005	2.64341482968652364
80				7.60696874008209515E-006	2.2666266342828856
160				1.58084403806214220E-006	1.5946522610690892
320				5.23420662073898890E-007	1.4634304500088832
640				1.89807950777076025E-007	---------------------


alpha = dt/dx = 0.01
Number of points		L1 Normal			Order
40				4.74348443735387267E-005	2.63967350349050210
80				7.61161085425887517E-006	2.2681706165336814
160				1.58011678297204656E-006	1.7155840153349968
320				4.81112828517038744E-007	1.4336538020948010
640				1.78104191134698087E-007	--------------------
